<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MOEXEU;60;28/05/20;150000;2111.59;2117.53;2108.44;2116.88;0;0
MOEXEU;60;28/05/20;160000;2117.13;2119.86;2111.96;2115.54;0;0
MOEXEU;60;28/05/20;170000;2115.48;2118.08;2113.26;2115.64;0;0
MOEXEU;60;28/05/20;180000;2115.5;2118.43;2112.33;2118.43;0;0
MOEXEU;60;29/05/20;000000;2118.43;2118.43;2118.43;2118.43;0;0
MOEXEU;60;29/05/20;100000;2106.5;2107.54;2085.61;2086.53;0;0
MOEXEU;60;29/05/20;110000;2085.83;2093.08;2083.83;2091.36;0;0
MOEXEU;60;29/05/20;120000;2091.35;2096.81;2090.03;2096.36;0;0
MOEXEU;60;29/05/20;130000;2096.59;2102.77;2093.36;2094.28;0;0
MOEXEU;60;29/05/20;140000;2093.95;2100.85;2091.89;2100.85;0;0
MOEXEU;60;29/05/20;150000;2100.9;2105.64;2099.86;2101.15;0;0
MOEXEU;60;29/05/20;160000;2100.92;2102.13;2096.7;2100.47;0;0
MOEXEU;60;29/05/20;170000;2100.46;2110.93;2100.01;2106.94;0;0
MOEXEU;60;29/05/20;180000;2107.3;2118.25;2105.4;2118.25;0;0
MOEXEU;60;01/06/20;000000;2118.25;2118.25;2118.25;2118.25;0;0
MOEXEU;60;01/06/20;100000;2124.71;2138.38;2124.71;2137.75;0;0
MOEXEU;60;01/06/20;110000;2137.82;2137.82;2118.64;2125.11;0;0
MOEXEU;60;01/06/20;120000;2124.79;2124.79;2118.84;2119.5;0;0
MOEXEU;60;01/06/20;130000;2119.76;2126.56;2116.25;2126.05;0;0
MOEXEU;60;01/06/20;140000;2125.81;2129.25;2124.66;2127.44;0;0
MOEXEU;60;01/06/20;150000;2127.44;2133.51;2127.23;2127.81;0;0
MOEXEU;60;01/06/20;160000;2127.81;2135.79;2121.62;2133.89;0;0
MOEXEU;60;01/06/20;170000;2134.2;2139.72;2133.78;2138.97;0;0
MOEXEU;60;01/06/20;180000;2138.08;2146.1;2136.08;2144.9;0;0
MOEXEU;60;02/06/20;000000;2144.9;2144.9;2144.9;2144.9;0;0
MOEXEU;60;02/06/20;100000;2153.81;2156.19;2141.75;2147.01;0;0
MOEXEU;60;02/06/20;110000;2146.46;2163.22;2145.43;2159.84;0;0
MOEXEU;60;02/06/20;120000;2160.51;2168.22;2158.49;2164.06;0;0
MOEXEU;60;02/06/20;130000;2163.7;2167.12;2159.2;2165.47;0;0
MOEXEU;60;02/06/20;140000;2165.5;2165.5;2159.03;2162.46;0;0
MOEXEU;60;02/06/20;150000;2162.32;2164.31;2158.36;2161.3;0;0
MOEXEU;60;02/06/20;160000;2161.23;2164.28;2156.51;2164.02;0;0
MOEXEU;60;02/06/20;170000;2164.11;2168.11;2160.53;2167.38;0;0
MOEXEU;60;02/06/20;180000;2167.3;2167.3;2160.12;2161.86;0;0
MOEXEU;60;03/06/20;000000;2161.86;2161.86;2161.86;2161.86;0;0
MOEXEU;60;03/06/20;100000;2168.06;2178.58;2164.98;2168.66;0;0
MOEXEU;60;03/06/20;110000;2168.57;2172.98;2168.57;2171.99;0;0
MOEXEU;60;03/06/20;120000;2172.06;2173.75;2168.77;2171.7;0;0
MOEXEU;60;03/06/20;130000;2171.98;2171.98;2151.28;2152.07;0;0
MOEXEU;60;03/06/20;140000;2152.58;2153.99;2146.67;2148.71;0;0
MOEXEU;60;03/06/20;150000;2149;2160.57;2148.71;2158.14;0;0
MOEXEU;60;03/06/20;160000;2158.23;2163.03;2154.01;2161.73;0;0
MOEXEU;60;03/06/20;170000;2162.35;2162.89;2154.81;2155.74;0;0
MOEXEU;60;03/06/20;180000;2155.4;2162.89;2155.4;2161.2;0;0
MOEXEU;60;04/06/20;000000;2161.2;2161.2;2161.2;2161.2;0;0
MOEXEU;60;04/06/20;100000;2156.02;2158.51;2132.7;2140.38;0;0
MOEXEU;60;04/06/20;110000;2140.33;2147.51;2135.12;2135.65;0;0
MOEXEU;60;04/06/20;120000;2135.63;2136.85;2128.3;2132.58;0;0
MOEXEU;60;04/06/20;130000;2132.51;2141.31;2128.49;2130.89;0;0
MOEXEU;60;04/06/20;140000;2130.91;2139.37;2128.91;2137.9;0;0
MOEXEU;60;04/06/20;150000;2136.91;2147.1;2134.47;2135.38;0;0
MOEXEU;60;04/06/20;160000;2134.88;2135.72;2114.58;2121.07;0;0
MOEXEU;60;04/06/20;170000;2121.36;2134.88;2120.51;2134.05;0;0
MOEXEU;60;04/06/20;180000;2133.88;2135.91;2128.97;2133.94;0;0
MOEXEU;60;05/06/20;000000;2133.94;2133.94;2133.94;2133.94;0;0
MOEXEU;60;05/06/20;100000;2144.59;2153.91;2141.27;2148.43;0;0
MOEXEU;60;05/06/20;110000;2148.71;2152.51;2145.89;2152.49;0;0
MOEXEU;60;05/06/20;120000;2152.87;2153.16;2141.41;2146.99;0;0
MOEXEU;60;05/06/20;130000;2147.16;2148.13;2141.08;2143.04;0;0
MOEXEU;60;05/06/20;140000;2142.86;2150.4;2142.47;2144.29;0;0
MOEXEU;60;05/06/20;150000;2143.83;2150.84;2142.16;2150.73;0;0
MOEXEU;60;05/06/20;160000;2150.33;2154;2148.42;2151.17;0;0
MOEXEU;60;05/06/20;170000;2151.13;2152.96;2145.6;2149;0;0
MOEXEU;60;05/06/20;180000;2148.99;2154.22;2148.42;2153.5;0;0
MOEXEU;60;08/06/20;000000;2153.5;2153.5;2153.5;2153.5;0;0
MOEXEU;60;08/06/20;100000;2155.19;2162.41;2146.77;2156.23;0;0
MOEXEU;60;08/06/20;110000;2156.57;2162.08;2154.08;2162.08;0;0
MOEXEU;60;08/06/20;120000;2162.21;2168.01;2160.24;2166.4;0;0
MOEXEU;60;08/06/20;130000;2166.43;2178.57;2166.43;2178.03;0;0
MOEXEU;60;08/06/20;140000;2177.46;2183.06;2172.07;2182.16;0;0
MOEXEU;60;08/06/20;150000;2182;2186.75;2173.13;2173.36;0;0
MOEXEU;60;08/06/20;160000;2173.42;2180.92;2173.42;2177.07;0;0
MOEXEU;60;08/06/20;170000;2177.64;2178.21;2166.6;2175.31;0;0
MOEXEU;60;08/06/20;180000;2175.16;2189.11;2175.16;2178.89;0;0
MOEXEU;60;09/06/20;000000;2178.89;2178.89;2178.89;2178.89;0;0
MOEXEU;60;09/06/20;100000;2188.14;2190.53;2159.65;2160.55;0;0
MOEXEU;60;09/06/20;110000;2160.85;2167.26;2147.26;2152.73;0;0
MOEXEU;60;09/06/20;120000;2153.11;2161.29;2148.83;2148.83;0;0
MOEXEU;60;09/06/20;130000;2149.43;2154.08;2148.87;2153.08;0;0
MOEXEU;60;09/06/20;140000;2153.53;2159.61;2152.4;2154.37;0;0
MOEXEU;60;09/06/20;150000;2154.53;2158.02;2150.44;2151.35;0;0
MOEXEU;60;09/06/20;160000;2151.54;2157.97;2151.54;2155.9;0;0
MOEXEU;60;09/06/20;170000;2155.84;2158.56;2151.45;2152.57;0;0
MOEXEU;60;09/06/20;180000;2152.98;2158.69;2150.99;2158.69;0;0
